reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.80687253,42.94876325,0,0,0,206.0655212,2020/10/22 15:10:27+00,,,,,,,,,,,,,,,,,,,,,
-78.80674401,42.94880155,0,0,1,196.3004972,2020/10/22 15:10:29+00,,,,,,,,,,,,,,,,,,,,,
-78.80677543,42.94877747,0,0,2,209.8744455,2020/10/22 15:10:32+00,,,,,,,,,,,,,,,,,,,,,
-78.80668573,42.94870797,0,0,3,209.8827943,2020/10/22 15:10:33+00,,,,,,,,,,,,,,,,,,,,,
-78.80671639,42.94872625,0,0,4,210.113589,2020/10/22 15:10:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80677919,42.9487515,0,0,5,210.1752658,2020/10/22 15:10:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80681436,42.94877177,0,0,6,210.3890484,2020/10/22 15:10:37+00,,,,,,,,,,,,,,,,,,,,,
-78.80678594,42.94878386,0,0,7,210.5713022,2020/10/22 15:10:38+00,,,,,,,,,,,,,,,,,,,,,
-78.80682223,42.94880407,0,0,8,210.6529704,2020/10/22 15:10:41+00,,,,,,,,,,,,,,,,,,,,,
-78.80686539,42.94882178,0,0,9,210.6046718,2020/10/22 15:10:43+00,,,,,,,,,,,,,,,,,,,,,
-78.80689914,42.94883483,0,0,10,210.5815049,2020/10/22 15:10:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80692014,42.94884225,0,0,11,210.4952769,2020/10/22 15:10:45+00,,,,,,,,,,,,,,,,,,,,,
-78.80694989,42.94885692,0,0,12,210.321379,2020/10/22 15:10:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80697346,42.94886849,0,0,13,210.2378209,2020/10/22 15:10:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80698134,42.9488712,0,0,14,210.1886493,2020/10/22 15:10:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80694605,42.94885918,0,0,15,209.7734941,2020/10/22 15:10:55+00,,,,,,,,,,,,,,,,,,,,,
-78.80690274,42.94885257,0,0,16,209.6396008,2020/10/22 15:10:57+00,,,,,,,,,,,,,,,,,,,,,
-78.80689393,42.9488519,0,0,17,209.6039698,2020/10/22 15:10:58+00,,,,,,,,,,,,,,,,,,,,,
-78.80691836,42.94886067,0,0,18,209.6150291,2020/10/22 15:11:00+00,,,,,,,,,,,,,,,,,,,,,
-78.80690422,42.94888165,0,0,19,209.3347422,2020/10/22 15:11:07+00,,,,,,,,,,,,,,,,,,,,,
-78.80689854,42.94890011,0,0,20,209.6721685,2020/10/22 15:11:09+00,,,,,,,,,,,,,,,,,,,,,
-78.8068944,42.94891898,0,0,21,209.4881381,2020/10/22 15:11:12+00,,,,,,,,,,,,,,,,,,,,,
-78.80692116,42.94892134,0,0,22,209.0159611,2020/10/22 15:11:16+00,,,,,,,,,,,,,,,,,,,,,
-78.80696316,42.94892658,0,0,23,208.9348212,2020/10/22 15:11:23+00,,,,,,,,,,,,,,,,,,,,,
-78.80700699,42.94892254,0,0,24,209.5571386,2020/10/22 15:11:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80703339,42.9489187,0,0,25,209.6262581,2020/10/22 15:11:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80708686,42.9489092,0,0,26,210.4374983,2020/10/22 15:11:28+00,,,,,,,,,,,,,,,,,,,,,
-78.8071168,42.9489038,0,0,27,208.4028656,2020/10/22 15:11:29+00,,,,,,,,,,,,,,,,,,,,,
-78.80714365,42.94890005,0,0,28,210.038804,2020/10/22 15:11:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80716929,42.94889569,0,0,29,209.9599204,2020/10/22 15:11:31+00,,,,,,,,,,,,,,,,,,,,,
-78.80721782,42.94888683,0,0,30,209.6368791,2020/10/22 15:11:33+00,,,,,,,,,,,,,,,,,,,,,
-78.80725867,42.94888737,0,0,31,209.5659175,2020/10/22 15:11:35+00,,,,,,,,,,,,,,,,,,,,,
-78.80729919,42.94888087,0,0,32,209.621995,2020/10/22 15:11:37+00,,,,,,,,,,,,,,,,,,,,,
-78.80734154,42.94887581,0,0,33,209.3876764,2020/10/22 15:11:39+00,,,,,,,,,,,,,,,,,,,,,
