reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
-78.830276,42.950732,0,0,0,178,2020/10/23 19:19:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.830376,42.950677,0,0,1,173,2020/10/23 19:21:01+00,,,,,,,,,,,,,,,,,,,,,,
-78.830306,42.95076,0,0,2,167,2020/10/23 19:23:44+00,,,,,,,,,,,,,,,,,,,,,,
-78.830204,42.95081,0,0,3,167,2020/10/23 19:24:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.830067,42.95082,0,0,4,168,2020/10/23 19:24:14+00,,,,,,,,,,,,,,,,,,,,,,
-78.829931,42.95082,0,0,5,167,2020/10/23 19:24:21+00,,,,,,,,,,,,,,,,,,,,,,
-78.829798,42.950851,0,0,6,170,2020/10/23 19:24:28+00,,,,,,,,,,,,,,,,,,,,,,
-78.829674,42.950841,0,0,7,170,2020/10/23 19:24:34+00,,,,,,,,,,,,,,,,,,,,,,
-78.829551,42.950833,0,0,8,169,2020/10/23 19:24:41+00,,,,,,,,,,,,,,,,,,,,,,
-78.829425,42.950835,0,0,9,168,2020/10/23 19:24:48+00,,,,,,,,,,,,,,,,,,,,,,
-78.829297,42.950853,0,0,10,170,2020/10/23 19:24:56+00,,,,,,,,,,,,,,,,,,,,,,
-78.829165,42.950862,0,0,11,170,2020/10/23 19:25:03+00,,,,,,,,,,,,,,,,,,,,,,
-78.829033,42.95087,0,0,12,172,2020/10/23 19:25:10+00,,,,,,,,,,,,,,,,,,,,,,
-78.828912,42.950854,0,0,13,171,2020/10/23 19:25:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.828779,42.950845,0,0,14,170,2020/10/23 19:25:24+00,,,,,,,,,,,,,,,,,,,,,,
-78.828647,42.950815,0,0,15,167,2020/10/23 19:25:32+00,,,,,,,,,,,,,,,,,,,,,,
-78.828522,42.950788,0,0,16,166,2020/10/23 19:25:39+00,,,,,,,,,,,,,,,,,,,,,,
-78.828401,42.950773,0,0,17,169,2020/10/23 19:25:47+00,,,,,,,,,,,,,,,,,,,,,,
-78.828274,42.950809,0,0,18,167,2020/10/23 19:25:55+00,,,,,,,,,,,,,,,,,,,,,,
-78.828204,42.950889,0,0,19,167,2020/10/23 19:26:03+00,,,,,,,,,,,,,,,,,,,,,,
-78.828082,42.950898,0,0,20,169,2020/10/23 19:26:10+00,,,,,,,,,,,,,,,,,,,,,,
-78.827941,42.95089,0,0,21,169,2020/10/23 19:26:17+00,,,,,,,,,,,,,,,,,,,,,,
-78.827808,42.950884,0,0,22,170,2020/10/23 19:26:22+00,,,,,,,,,,,,,,,,,,,,,,
-78.827678,42.950898,0,0,23,173,2020/10/23 19:26:27+00,,,,,,,,,,,,,,,,,,,,,,
-78.827539,42.950892,0,0,24,174,2020/10/23 19:26:34+00,,,,,,,,,,,,,,,,,,,,,,
-78.827416,42.950889,0,0,25,172,2020/10/23 19:26:45+00,,,,,,,,,,,,,,,,,,,,,,
-78.82729,42.950884,0,0,26,172,2020/10/23 19:27:13+00,,,,,,,,,,,,,,,,,,,,,,
-78.82717,42.950909,0,0,27,173,2020/10/23 19:27:19+00,,,,,,,,,,,,,,,,,,,,,,
-78.827039,42.950895,0,0,28,171,2020/10/23 19:27:25+00,,,,,,,,,,,,,,,,,,,,,,
-78.826917,42.950886,0,0,29,173,2020/10/23 19:27:32+00,,,,,,,,,,,,,,,,,,,,,,
-78.826791,42.950876,0,0,30,172,2020/10/23 19:27:39+00,,,,,,,,,,,,,,,,,,,,,,
-78.826727,42.95079,0,0,31,172,2020/10/23 19:27:44+00,,,,,,,,,,,,,,,,,,,,,,
-78.826607,42.950764,0,0,32,175,2020/10/23 19:27:51+00,,,,,,,,,,,,,,,,,,,,,,
-78.826481,42.950782,0,0,33,174,2020/10/23 19:27:58+00,,,,,,,,,,,,,,,,,,,,,,
-78.826406,42.950855,0,0,34,172,2020/10/23 19:28:20+00,,,,,,,,,,,,,,,,,,,,,,
-78.826278,42.950835,0,0,35,170,2020/10/23 19:29:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.826155,42.950804,0,0,36,171,2020/10/23 19:29:08+00,,,,,,,,,,,,,,,,,,,,,,
-78.826089,42.950882,0,0,37,174,2020/10/23 19:29:18+00,,,,,,,,,,,,,,,,,,,,,,
-78.826028,42.95096,0,0,38,175,2020/10/23 19:29:23+00,,,,,,,,,,,,,,,,,,,,,,
-78.82596,42.951048,0,0,39,173,2020/10/23 19:29:29+00,,,,,,,,,,,,,,,,,,,,,,
-78.825874,42.951126,0,0,40,174,2020/10/23 19:29:35+00,,,,,,,,,,,,,,,,,,,,,,
-78.825775,42.951194,0,0,41,173,2020/10/23 19:29:43+00,,,,,,,,,,,,,,,,,,,,,,
-78.825661,42.951231,0,0,42,172,2020/10/23 19:29:53+00,,,,,,,,,,,,,,,,,,,,,,
-78.825565,42.951301,0,0,43,172,2020/10/23 19:30:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.825441,42.951308,0,0,44,175,2020/10/23 19:30:10+00,,,,,,,,,,,,,,,,,,,,,,
-78.825336,42.95125,0,0,45,175,2020/10/23 19:30:17+00,,,,,,,,,,,,,,,,,,,,,,
-78.825239,42.951179,0,0,46,176,2020/10/23 19:30:24+00,,,,,,,,,,,,,,,,,,,,,,
-78.825137,42.951104,0,0,47,174,2020/10/23 19:30:31+00,,,,,,,,,,,,,,,,,,,,,,
-78.825046,42.951041,0,0,48,173,2020/10/23 19:30:38+00,,,,,,,,,,,,,,,,,,,,,,
-78.82494,42.950972,0,0,49,174,2020/10/23 19:30:45+00,,,,,,,,,,,,,,,,,,,,,,
-78.824826,42.950918,0,0,50,171,2020/10/23 19:30:53+00,,,,,,,,,,,,,,,,,,,,,,
-78.824731,42.950854,0,0,51,168,2020/10/23 19:31:01+00,,,,,,,,,,,,,,,,,,,,,,
-78.824621,42.950798,0,0,52,168,2020/10/23 19:31:08+00,,,,,,,,,,,,,,,,,,,,,,
-78.824509,42.95076,0,0,53,169,2020/10/23 19:31:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.824397,42.950682,0,0,54,169,2020/10/23 19:31:23+00,,,,,,,,,,,,,,,,,,,,,,
-78.824336,42.95059,0,0,55,169,2020/10/23 19:31:27+00,,,,,,,,,,,,,,,,,,,,,,
-78.824225,42.950549,0,0,56,172,2020/10/23 19:31:35+00,,,,,,,,,,,,,,,,,,,,,,
-78.824115,42.950497,0,0,57,174,2020/10/23 19:31:42+00,,,,,,,,,,,,,,,,,,,,,,
-78.824026,42.950435,0,0,58,172,2020/10/23 19:31:50+00,,,,,,,,,,,,,,,,,,,,,,
-78.823906,42.950414,0,0,59,174,2020/10/23 19:31:59+00,,,,,,,,,,,,,,,,,,,,,,
-78.823817,42.950343,0,0,60,171,2020/10/23 19:32:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.823733,42.950272,0,0,61,168,2020/10/23 19:32:11+00,,,,,,,,,,,,,,,,,,,,,,
-78.823652,42.950205,0,0,62,170,2020/10/23 19:32:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.823546,42.950138,0,0,63,170,2020/10/23 19:32:24+00,,,,,,,,,,,,,,,,,,,,,,
-78.823439,42.950076,0,0,64,169,2020/10/23 19:32:31+00,,,,,,,,,,,,,,,,,,,,,,
-78.823315,42.950042,0,0,65,172,2020/10/23 19:32:36+00,,,,,,,,,,,,,,,,,,,,,,
-78.823197,42.949998,0,0,66,172,2020/10/23 19:32:43+00,,,,,,,,,,,,,,,,,,,,,,
-78.823087,42.949938,0,0,67,170,2020/10/23 19:32:49+00,,,,,,,,,,,,,,,,,,,,,,
